# language: es
# type: profanity
# Note: Includes common English loanwords used in Spanish colloquial speech
me cago en tus muertos	-1.5
me cago en la puta	-1.5
me cago en todo	-1.4
la puta madre	-1.3
por qué cojones	-1.3
hasta los cojones	-1.2
dolor de huevos	-1.0
me tiene hasta los huevos	-1.1
no me jodas	-1.1
déjate de hostias	-1.0
al carajo	-1.0
se fue al carajo	-1.0
esta mierda	-1.0
era una mierda	-1.0
qué cojones	-1.2
qué coño	-1.2
cojones	-1.0
coño	-1.0
joder	-1.0
jode	-0.8
hostia	-1.0
hostias	-1.0
mierda	-1.0
puta	-1.0
puto	-1.0
putos	-1.0
cabrón	-0.8
gilipollas	-0.9
idiota	-0.7
inútil	-0.8
imbécil	-0.8
capullo	-0.7
coñazo	-0.9
idiotez	-0.7
cabreo	-0.8
cabreo generalizado	-1.0
# English loanwords common in Spanish colloquial speech
fucking	-1.0
fuck	-1.0
# Latin American Spanish profanity (regional variants)
# Mexico
chinga tu madre	-1.5
a la verga	-1.2
pinche	-0.8
pendejo	-1.0
pendeja	-1.0
no mames	-1.1
culero	-1.0
mamón	-0.9
hijo de la chingada	-1.4
# Argentina/Uruguay
boludo	-0.9
pelotudo	-1.0
forro	-1.0
gil	-0.8
la concha de tu madre	-1.5
la puta que te parió	-1.4
la concha de la lora	-1.3
no seas boludo	-0.8
pelotudazo	-1.0
# Colombia
hijueputa	-1.2
jueputa	-1.2
gonorrea	-1.2
malparido	-1.3
# Chile
weón	-0.9
huevón	-0.9
conchetumadre	-1.4
sacowea	-1.3
aweonao	-1.1
la ctm	-1.4
weá	-1.0
# Venezuela
mamagüevo	-1.2
# Peru
cojudo	-1.0
conchesumadre	-1.3
# Chat abbreviations (common in coding sessions)
ctm	-1.4
hdp	-1.2
ptm	-1.4
qliao	-1.0
